,0
feature544,6.0
feature545,4.0
feature546,735.0
feature547,3.0
feature548,2.0
feature549,4.0
feature550,2.0
feature551,3.0
feature552,23.0
feature553,3.0
feature554,38.0
feature555,5.0
feature556,8.0
feature557,17.0
feature558,4.0
feature559,44.0
feature560,47.0
feature561,7.0
feature562,24.0
feature563,6.0
feature564,4.0
feature565,5.0
feature566,6.0
feature567,20.0
feature568,2.0
feature569,20.0
feature570,2.0
feature571,2.0
feature572,4.0
feature573,4.0
feature574,107.0
feature575,7.0
feature576,3.0
feature577,31.0
feature578,3.0
feature579,10.0
feature580,4.0
feature581,9.0
feature582,3.0
feature583,12.0
feature584,4.0
feature585,13.0
feature586,73.0
feature587,4.0
feature588,142.0
feature589,3.0
feature590,32.0
feature591,4.0
feature592,17.0
feature593,24.0
feature594,38.0
feature595,4.0
feature596,2.0
feature597,2.0
feature598,2.0
feature599,3.0
feature600,5.0
feature601,6.0
feature602,10.0
feature603,3.0
feature604,2.0
feature605,7.0
feature606,3.0
feature607,6.0
feature608,2.0
feature609,22.0
feature610,10.0
feature611,3.0
feature612,10.0
feature613,67.0
feature614,36.0
feature615,155.0
feature616,2.0
feature617,14.0
feature618,3.0
feature619,2.0
feature620,47.0
feature621,2.0
feature622,5.0
feature623,5.0
feature624,4.0
feature625,3.0
feature626,4.0
feature627,7.0
feature628,13.0
feature629,4.0
feature630,13.0
feature631,2.0
feature632,9.0
feature633,4.0
feature634,12.0
feature635,22.0
feature636,48.0
feature637,19.0
feature638,30.0
feature639,8.0
feature640,6.0
feature641,56.0
feature642,4.0
feature643,25.0
feature644,2.0
feature645,77.0
feature646,6.0
feature647,4.0
feature648,3.0
feature649,3.0
feature650,2.0
feature651,39.0
feature652,2.0
feature653,24.0
feature654,3.0
feature655,63.0
feature656,2.0
feature657,3.0
feature658,76.0
feature659,29.0
feature660,2.0
feature661,4.0
feature662,4.0
feature663,25.0
feature664,14.0
feature665,6.0
feature666,78.0
feature667,4.0
feature668,3.0
feature669,2.0
feature670,65.0
feature671,12.0
feature672,5.0
feature673,5.0
feature674,6.0
feature675,18.0
feature676,2.0
feature677,6.0
feature678,8.0
feature679,19.0
feature680,12.0
feature681,6.0
feature682,6.0
feature683,2.0
feature684,3.0
feature685,8.0
feature686,4.0
feature687,12.0
feature688,3.0
feature689,6.0
feature690,53.0
feature691,2.0
feature692,10.0
feature693,3.0
feature694,105.0
feature695,6.0
feature696,12.0
feature697,26.0
feature698,3.0
feature699,545.0
feature700,10.0
feature701,5.0
feature702,8.0
feature703,5.0
feature704,2.0
feature705,2.0
feature706,3.0
feature707,14.0
feature708,13.0
feature709,3.0
feature710,5.0
feature711,4.0
feature712,10.0
feature713,17.0
feature714,3.0
feature715,6.0
feature716,2.0
feature717,3.0
feature718,3.0
feature719,35.0
feature720,2.0
feature721,2.0
feature722,6.0
feature723,6.0
feature724,4.0
feature725,10.0
feature726,9.0
feature727,3.0
feature728,9.0
feature729,3.0
feature730,2.0
feature731,24.0
feature732,14.0
feature733,16.0
feature734,3.0
feature735,3.0
feature736,15.0
feature737,19.0
feature738,3.0
feature739,2.0
feature740,2.0
feature741,5.0
feature742,8.0
feature743,3.0
feature744,2.0
feature745,67.0
feature746,7.0
feature747,2.0
feature748,2.0
feature749,18.0
feature750,10.0
feature751,631.0
feature752,4.0
feature753,2.0
feature754,2.0
feature755,21.0
feature756,7.0
feature757,6.0
feature758,3.0
feature759,200.0
feature760,2.0
feature761,5.0
feature762,6.0
feature763,3.0
feature764,4.0
feature765,3.0
feature766,38.0
feature767,33.0
feature768,3.0
feature769,4.0
feature770,21.0
feature771,2.0
feature772,24.0
feature773,4.0
feature774,1189.0
feature775,4.0
feature776,8.0
feature777,2.0
feature778,3.0
feature779,4.0
feature780,2.0
feature781,27.0
feature782,6.0
feature783,8.0
feature784,10.0
feature785,13.0
feature786,3.0
feature787,4.0
feature788,3.0
feature789,10.0
feature790,23.0
feature791,10.0
feature792,718.0
feature793,3.0
feature794,4.0
feature795,5.0
feature796,17.0
feature797,3.0
feature798,3.0
feature799,6.0
feature800,2.0
feature801,4.0
feature802,47.0
feature803,21.0
feature804,3.0
feature805,2.0
feature806,145.0
feature807,8.0
feature808,4.0
feature809,5.0
feature810,81.0
feature811,2.0
feature812,2.0
feature813,66.0
feature814,10.0
feature815,993.0
feature816,3.0
feature817,46.0
feature818,19.0
feature819,8.0
feature820,115.0
feature821,3.0
feature822,7.0
feature823,4.0
feature824,3.0
feature825,2.0
feature826,2.0
feature827,122.0
feature828,4.0
feature829,2.0
feature830,10.0
feature831,2.0
feature832,2.0
feature833,2.0
feature834,5.0
feature835,6.0
feature836,5.0
feature837,3.0
feature838,23.0
feature839,7.0
feature840,2.0
feature841,6.0
feature842,2.0
feature843,17.0
feature844,82.0
feature845,46.0
feature846,13.0
feature847,50.0
feature848,5.0
feature849,30.0
feature850,13190.0
feature851,4.0
feature852,2.0
feature853,4.0
feature854,34.0
feature855,10.0
feature856,8.0
feature857,4.0
feature858,9.0
feature859,3.0
feature860,6.0
feature861,2612.0
feature862,38.0
feature863,4.0
feature864,2.0
feature865,151.0
feature866,16.0
feature867,2.0
feature868,20.0
feature869,11.0
feature870,3.0
feature871,27.0
feature872,10.0
feature873,3.0
feature874,18.0
feature875,160.0
feature876,6.0
feature877,11.0
feature878,4.0
feature879,3.0
feature880,3.0
feature881,2.0
feature882,15.0
feature883,3.0
feature884,3.0
feature885,33.0
feature886,2.0
feature887,3.0
feature888,2.0
feature889,15.0
feature890,457.0
feature891,7.0
feature892,40.0
feature893,7.0
feature894,4.0
feature895,10.0
feature896,2.0
feature897,39.0
feature898,2194.0
feature899,7.0
feature900,6.0
feature901,4.0
feature902,8.0
feature903,5.0
feature904,4.0
feature905,2.0
feature906,5.0
feature907,64.0
feature908,3.0
feature909,2.0
feature910,123.0
feature911,32.0
feature912,22.0
feature913,2.0
feature914,339.0
feature915,11.0
feature916,30.0
feature917,7.0
feature918,6.0
feature919,4.0
feature920,2.0
feature921,14.0
feature922,218.0
feature923,11.0
feature924,106.0
feature925,3.0
feature926,6.0
feature927,4.0
feature928,3.0
feature929,23.0
feature930,4.0
feature931,3.0
feature932,545.0
feature933,6.0
feature934,2.0
feature935,167.0
feature936,9.0
feature937,3.0
feature938,4.0
feature939,3.0
feature940,3.0
feature941,12.0
feature942,2.0
feature943,3.0
feature944,2.0
feature945,3.0
feature946,8.0
feature947,37.0
feature948,9.0
feature949,4.0
feature950,10.0
feature951,2.0
feature952,5.0
feature953,3.0
feature954,18.0
feature955,2.0
feature956,9.0
feature957,35459.0
feature958,18.0
feature959,7.0
feature960,38.0
feature961,5.0
feature962,112.0
feature963,5.0
feature964,1364.0
feature965,15.0
feature966,3.0
feature967,3.0
feature968,32.0
feature969,60.0
feature970,51.0
feature971,9.0
feature972,6.0
feature973,3.0
feature974,3.0
feature975,2.0
feature976,3.0
feature977,6.0
feature978,2.0
feature979,14.0
feature980,9.0
feature981,6.0
feature982,3.0
feature983,1295.0
feature984,13.0
feature985,202.0
feature986,3.0
feature987,12.0
feature988,4.0
feature989,18.0
feature990,24.0
feature991,2.0
feature992,4.0
feature993,3.0
feature994,12.0
feature995,304.0
feature996,140.0
feature997,9.0
feature998,270.0
feature999,6.0
feature1000,3.0
feature1001,4.0
feature1002,2.0
feature1003,12.0
feature1004,3.0
feature1005,20.0
feature1006,2.0
feature1007,15.0
feature1008,108.0
feature1009,3.0
feature1010,947.0
feature1011,3.0
feature1012,9.0
feature1013,5.0
feature1014,6.0
feature1015,8.0
feature1016,13.0
feature1017,2.0
feature1018,19.0
feature1019,136.0
feature1020,6.0
feature1021,19.0
feature1022,6.0
feature1023,49.0
feature1024,37.0
feature1025,34.0
feature1026,15.0
feature1027,5.0
feature1028,298.0
feature1029,14.0
feature1030,2.0
feature1031,3.0
feature1032,2.0
feature1033,68.0
feature1034,64.0
feature1035,6.0
feature1036,6.0
feature1037,8.0
feature1038,7.0
feature1039,9.0
feature1040,3.0
feature1041,78.0
feature1042,5.0
feature1043,46.0
feature1044,14.0
feature1045,4.0
feature1046,4.0
feature1047,48.0
feature1048,2.0
feature1049,7.0
feature1050,35.0
feature1051,2.0
feature1052,174.0
feature1053,8.0
feature1054,5.0
feature1055,24.0
feature1056,8.0
feature1057,40.0
feature1058,4.0
feature1059,3.0
feature1060,5.0
feature1061,272.0
feature1062,5.0
feature1063,27.0
feature1064,10.0
feature1065,7.0
feature1066,3.0
feature1067,5.0
feature1068,2.0
feature1069,10.0
feature1070,12.0
feature1071,4.0
feature1072,4.0
feature1073,5.0
feature1074,5.0
feature1075,3.0
feature1076,5.0
feature1077,6.0
feature1078,11.0
feature1079,3.0
feature1080,3.0
feature1081,3.0
feature1082,6.0
feature1083,13.0
feature1084,2.0
feature1085,8.0
feature1086,673.0
feature1087,31.0
feature1088,17.0
feature1089,9.0
feature1090,13.0
feature1091,5.0
feature1092,4.0
feature1093,4.0
feature1094,3.0
feature1095,180.0
feature1096,3.0
feature1097,88.0
feature1098,4.0
feature1099,2.0
feature1100,14.0
feature1101,14.0
feature1102,4.0
feature1103,48.0
feature1104,71.0
feature1105,4.0
feature1106,2.0
feature1107,6.0
feature1108,7.0
feature1109,3.0
feature1110,2.0
feature1111,15.0
feature1112,4.0
feature1113,16.0
feature1114,22.0
feature1115,90.0
feature1116,6.0
feature1117,49.0
feature1118,2.0
feature1119,4.0
feature1120,27.0
feature1121,13.0
feature1122,2.0
feature1123,10.0
feature1124,6.0
